Transaction Date,Post Date,Description,Category,Type,Amount
01/16/2020,01/17/2020,AMZN Mktp US*OK1M61423,Shopping,Sale,-15.14
04/24/2020,04/26/2020,AMZN Mktp US*OR3BX43S3,Shopping,Sale,-31.87
04/17/2020,04/17/2020,AMZN Mktp US*P15BO1TD3,Shopping,Sale,-27.05
04/10/2020,04/12/2020,AMZN Mktp US*PA03E8QC3,Shopping,Sale,-11.90
04/03/2020,04/05/2020,AMZN Mktp US*PA3MG6UY3,Shopping,Sale,-15.14
04/24/2020,04/26/2020,AMZN Mktp US*R07VQ7EM3,Shopping,Sale,-27.05
01/31/2020,01/31/2020,AMZN Mktp US*RV2NE5W43,Shopping,Sale,-12.98
05/11/2020,05/12/2020,AMZN Mktp US*TF6YL9AV3,Shopping,Sale,-20.56
01/13/2020,01/14/2020,AMZN Mktp US*UD4HB9CR3,Shopping,Sale,-10.94
03/13/2020,03/15/2020,AMZN Mktp US*UG6ET7ZT3,Shopping,Sale,-16.23
01/04/2020,01/05/2020,AMZN Mktp US*VU4ZV3I53,Shopping,Sale,-13.96
02/03/2020,02/04/2020,AMZN Mktp US*VU7UL5R93,Shopping,Sale,-22.71
01/03/2020,01/05/2020,AMZN Mktp US*W67SI8FU3,Shopping,Sale,-24.89
03/11/2020,03/11/2020,AMZN Mktp US*WU0BE9P93,Shopping,Sale,-7.57
02/06/2020,02/07/2020,AMZN Mktp US*XN1AI4HW3,Shopping,Sale,-22.56
01/13/2020,01/14/2020,AMZN Mktp US*XW4SD37X3,Shopping,Sale,-78.96
01/21/2020,01/22/2020,AMZN Mktp US*YJ6JA8LR3,Shopping,Sale,-18.39
